spkid,full_name,a,e,i,om,w,q,ad,per_y,H,rot_per,spec_B,spec_T,n,per,class,producer,first_obs,diameter
2000036,    36 Atalante,2.749104341,0.302479347,18.42657136,358.4420817,46.93820565,1.917557055,3.580651626,4.558217431,8.46,9.93,,C,0.216230642,1664.888917,MBA,Otto Matic,1866-02-08,105.61
2000037,    37 Fides,2.643682894,0.173649237,3.072340602,7.315219023,62.79050056,2.184609376,3.102756412,4.298552582,7.29,7.3335,S,S,0.229292597,1570.046331,MBA,Otto Matic,1855-10-07,108.35
2000038,    38 Leda,2.738879671,0.154934054,6.974694422,295.7616311,169.8208567,2.314533939,3.163225403,4.532811209,8.32,12.838,Cgh,C,0.217442606,1655.609294,MBA,Otto Matic,1856-01-29,115.93
2000039,    39 Laetitia,2.767925253,0.114336508,10.38082125,157.1324004,208.4137903,2.451450344,3.084400161,4.605107145,6.1,5.138,S,S,0.214028958,1682.015385,MBA,Otto Matic,1856-02-28,149.52
2000040,    40 Harmonia,2.267002418,0.047093633,4.25773201,94.24117538,268.8074842,2.160241038,2.373763797,3.413392086,7,8.91,S,S,0.28875273,1246.741459,MBA,Otto Matic,1864-09-27,107.62
2000041,    41 Daphne,2.761305402,0.275017105,15.79088109,178.0945049,46.0593554,2.001899184,3.52071162,4.588596464,7.12,5.988,Ch,C,0.214799077,1675.984858,MBA,Otto Matic,1866-07-13,174
2000042,    42 Isis,2.441982761,0.222403001,8.526923027,84.35764246,236.5239307,1.898878467,2.985087055,3.816120615,7.53,13.597,L,S,0.258279646,1393.838055,MBA,Otto Matic,1856-06-20,100.2
2000043,    43 Ariadne,2.203689761,0.168193082,3.470500802,264.8733357,16.29419652,1.833044389,2.574335134,3.271401761,7.93,5.762,Sk,S,0.301285613,1194.879493,MBA,Otto Matic,1864-08-03,65.88
2000044,    44 Nysa,2.423082221,0.148359866,3.706232708,131.5612547,343.5003298,2.063594067,2.782570375,3.771902246,7.03,6.422,Xc,E,0.261307483,1377.687296,MBA,Otto Matic,1864-03-02,70.64
2000045,    45 Eugenia,2.719822783,0.082886532,6.603425664,147.6852662,88.66476842,2.494386106,2.94525946,4.485585232,7.46,5.699,C,FC,0.219731926,1638.360006,MBA,Otto Matic,1866-05-19,214.63
2000046,    46 Hestia,2.525702056,0.172099085,2.34441836,181.1398875,176.5468049,2.091031045,2.960373068,4.01403707,8.36,21.04,Xc,P,0.245544888,1466.12704,MBA,Otto Matic,1864-04-05,124.14
2000047,    47 Aglaja,2.880412974,0.133288979,4.982401107,3.134543284,313.9567346,2.49648567,3.264340278,4.888665698,7.84,13.178,B,C,0.20161458,1785.585146,MBA,Otto Matic,1860-02-24,126.96
2000048,    48 Doris,3.111300312,0.074223723,6.545967051,183.599417,253.919851,2.88036802,3.342232605,5.488088437,6.9,11.89,Ch,CG,0.179593732,2004.524302,MBA,Otto Matic,1860-02-27,221.8
2000049,    49 Pales,3.093676556,0.227892727,3.173622856,286.0036986,110.1750743,2.38865017,3.798702942,5.441524159,7.8,10.42,Ch,CG,0.181130554,1987.516699,MBA,Otto Matic,1863-11-20,149.8
2000050,    50 Virginia,2.651358302,0.284005463,2.833298883,173.6131026,200.3485209,1.898358059,3.404358545,4.317286152,9.24,14.315,Ch,X,0.22829765,1576.888767,MBA,Otto Matic,1857-10-19,99.82
2000051,    51 Nemausa,2.365128906,0.067831513,9.977509544,176.0859846,2.345998589,2.204698634,2.525559178,3.637394672,7.35,7.783,Ch,CU,0.270970398,1328.558404,MBA,Otto Matic,1863-09-12,147.86
2000052,    52 Europa,3.096201413,0.107367347,7.482172225,128.7249934,344.0442118,2.763770482,3.428632343,5.448187042,6.31,5.6304,C,CF,0.180909039,1989.950317,MBA,Otto Matic,1860-07-09,302.5
2000053,    53 Kalypso,2.616570835,0.206054514,5.170066571,143.570815,313.5698392,2.077414604,3.155727066,4.232597263,8.81,9.036,,XC,0.232865596,1545.95615,MBA,Otto Matic,1866-01-01,115.38
2000054,    54 Alexandra,2.709570221,0.198206226,11.80195556,313.3442445,345.3938647,2.172516534,3.246623908,4.46024606,7.66,7.024,C,C,0.220980249,1629.104873,MBA,Otto Matic,1863-10-24,165.75
2000055,    55 Pandora,2.760704852,0.142715577,7.185156086,10.44773664,3.856227304,2.366709265,3.154700439,4.5870996,7.8,4.804,X,M,0.21486917,1675.438129,MBA,Otto Matic,1863-11-20,66.7
2000056,    56 Melete,2.597116754,0.236892724,8.068074537,193.4170304,103.7677659,1.981878691,3.212354818,4.18548137,8.31,18.147,Xk,P,0.23548696,1528.74707,MBA,Otto Matic,1865-06-13,113.24
2000057,    57 Mnemosyne,3.1500313,0.1151575,15.22022,199.22954,210.99641,2.7872816,3.512781,5.590884352,7.03,12.463,S,S,0.17629166,2042.07051,MBA,MPCLINUX,1859-??-??,112.59
2000058,    58 Concordia,2.698936177,0.044757657,5.061006068,161.1754866,31.44727702,2.578138117,2.819734237,4.434014658,8.86,9.895,Ch,C,0.222287556,1619.523854,MBA,Otto Matic,1864-02-09,93.43
2000059,    59 Elpis,2.714191308,0.118017993,8.632096464,170.129538,211.9791259,2.393867897,3.034514718,4.471661137,7.93,13.69,B,CP,0.220416139,1633.27423,MBA,Otto Matic,1863-04-11,164.8
2000060,    60 Echo,2.393292254,0.184095418,3.601070835,191.6330635,270.9212553,1.952698115,2.833886394,3.702557444,8.21,25.208,S,S,0.266201483,1352.359106,MBA,Otto Matic,1861-01-05,60.2
2000061,    61 Danae,2.9817581,0.167692,18.21351,333.74642,13.02201,2.4817411,3.4817751,5.148928005,7.68,11.45,S,S,0.19142359,1880.645954,MBA,MPCLINUX,1865-??-??,82.04
2000062,    62 Erato,3.128657603,0.171673982,2.229666418,125.574086,273.9940482,2.591548495,3.665766711,5.534077768,8.76,9.2213,Ch,BU,0.178101271,2021.321905,MBA,Otto Matic,2/15/06,95.39
2000063,    63 Ausonia,2.394550774,0.127548006,5.780176772,337.7764357,296.2201066,2.089130597,2.699970952,3.705478329,7.55,9.298,Sa,S,0.265991647,1353.42596,MBA,Otto Matic,1861-03-01,103.14
2000065,    65 Cybele,3.42581803,0.110129844,3.562871785,155.6508542,102.5594553,3.048533225,3.803102836,6.340954522,6.62,6.0814,Xc,P,0.155438157,2316.033639,OMB,Otto Matic,1861-03-12,237.26
2000066,    66 Maja,2.647332258,0.170708715,3.046327169,7.550022484,43.84379877,2.19540957,3.099254946,4.307456295,9.36,9.73509,Ch,C,0.228818638,1573.298412,MBA,Otto Matic,1861-04-10,71.82
2000067,    67 Asia,2.421588649,0.184055634,6.027476268,202.6632144,106.2655283,1.975881615,2.867295683,3.76841532,8.28,15.89,S,S,0.261549272,1376.413696,MBA,Otto Matic,1864-03-02,58.11
2000068,    68 Leto,2.779982202,0.187398235,7.973396347,44.13463599,305.0725977,2.259018443,3.300945962,4.635229326,6.78,14.848,,S,0.212638084,1693.017511,MBA,Otto Matic,1863-11-30,122.57
2000069,    69 Hesperia,2.976065635,0.169928605,8.585003082,185.0407523,289.7753484,2.470346953,3.481784316,5.134190275,7.05,5.655,X,M,0.191973073,1875.262998,MBA,Otto Matic,1861-04-29,138.13
2000070,    70 Panopaea,2.614886115,0.182271199,11.59147949,47.74456693,255.5598337,2.138267687,3.091504544,4.228510085,8.11,15.797,Ch,C,0.233090678,1544.463309,MBA,Otto Matic,1866-09-19,122.17
2000071,    71 Niobe,2.754195524,0.175323581,23.26284925,316.0638351,266.9487959,2.271320101,3.237070947,4.570885626,7.3,35.864,Xe,S,0.21563136,1669.515975,MBA,Otto Matic,1864-01-14,83.42
2000072,    72 Feronia,2.266704323,0.119991634,5.417400939,208.0759108,102.6365856,1.994718769,2.538689878,3.412718853,8.94,8.097,,TDG,0.288809693,1246.495561,MBA,Otto Matic,1865-06-23,85.9
2000073,    73 Klytia,2.6663269,0.0441269,2.3703,7.12181,54.61113,2.5486702,2.7839836,4.353898373,9,8.297,,S,0.22637788,1590.261381,MBA,MPCLINUX,1864-??-??,44.44
2000074,    74 Galatea,2.776898589,0.240528221,4.078681398,197.2901243,174.2225535,2.108976112,3.444821066,4.627519228,8.66,17.268,C,C,0.212992369,1690.201398,MBA,Otto Matic,1864-01-30,118.71
2000075,    75 Eurydike,2.670989235,0.30585078,5.002348909,359.4313293,339.5228461,1.854065093,3.487913376,4.365323252,8.96,5.357,Xk,M,0.225785406,1594.434318,MBA,Otto Matic,1864-02-02,55.91
2000076,    76 Freia,3.412377418,0.1645696,2.117899708,204.5320868,253.5667008,2.850803832,3.973951005,6.303674669,7.9,9.969,X,P,0.156357416,2302.417173,OMB,Otto Matic,1864-04-23,183.66
2000077,    77 Frigga,2.669357073,0.13102005,2.429389599,1.303691545,60.68087717,2.319617775,3.019096371,4.361322585,8.52,9.012,Xe,MU,0.22599252,1592.973074,MBA,Otto Matic,1879-07-18,69.25
2000078,    78 Diana,2.619703563,0.207176398,8.702721701,333.4209771,152.9570439,2.076962816,3.162444309,4.240200846,8.09,7.2991,Ch,C,0.232448018,1548.733359,MBA,Otto Matic,1863-04-10,120.6
2000079,    79 Eurynome,2.445306723,0.191658196,4.617625629,206.6621994,201.0409726,1.976643648,2.913969798,3.823914868,7.96,5.978,S,S,0.257753197,1396.684905,MBA,Otto Matic,1863-10-05,66.47
2000080,    80 Sappho,2.295410383,0.200409306,8.665799482,218.7824924,139.1909729,1.835388781,2.755431986,3.477752849,7.98,14.03,S,S,0.28340895,1270.249228,MBA,Otto Matic,1865-10-08,78.39
2000081,    81 Terpsichore,2.856410287,0.207358037,7.800130259,1.021854977,51.56791403,2.264110657,3.448709918,4.827686777,8.48,10.943,Cb,C,0.204161191,1763.312595,MBA,Otto Matic,1864-11-19,119.08
2000082,    82 Alkmene,2.765035331,0.218450797,2.829067851,25.5314712,111.1623753,2.161011159,3.369059502,4.597896911,8.4,12.999,Sq,S,0.214364589,1679.381847,MBA,Otto Matic,1864-12-05,60.96
2000083,    83 Beatrix,2.432089297,0.081426794,4.964224512,27.76077532,168.994616,2.234052063,2.630126532,3.792953139,8.66,10.16,X,X,0.259857227,1385.376134,MBA,Otto Matic,1865-05-13,81.37
2000084,    84 Klio,2.361620947,0.236814479,9.331133021,327.6081714,14.69112615,1.802354912,2.920886981,3.629305197,9.32,23.562,Ch,G,0.271574373,1325.603723,MBA,Otto Matic,1865-08-30,79.16
2000085,    85 Io,2.655410663,0.191438938,11.95510997,203.364003,122.6583275,2.147061666,3.163759659,4.327187805,7.61,6.875,B,FC,0.22777525,1580.505346,MBA,Otto Matic,1865-09-21,154.79
2000086,    86 Semele,3.111577509,0.208914828,4.822697616,86.41557381,308.4617461,2.461522828,3.76163219,5.488821882,8.54,16.634,,C,0.179569734,2004.792193,MBA,Otto Matic,1871-12-29,120.56
2000087,    87 Sylvia,3.490458452,0.088865721,10.88371743,73.13681352,264.5096812,3.180276345,3.800640558,6.521265943,6.94,5.184,X,P,0.15114033,2381.892386,OMB,Otto Matic,1894-11-02,260.94
2000088,    88 Thisbe,2.768357387,0.164490616,5.214527392,276.685038,36.03199394,2.312988575,3.2237262,4.606185625,7.04,6.042,B,CF,0.213978846,1682.4093,MBA,Otto Matic,1866-07-17,232
2000089,    89 Julia,2.550929562,0.182686115,16.13828121,311.6081787,44.88088777,2.084910151,3.016948973,4.074327192,6.6,11.387,K,S,0.241911422,1488.148007,MBA,Otto Matic,1866-08-12,151.46
2000090,    90 Antiope,3.163658823,0.159277045,2.214650204,70.21352511,244.0759217,2.659760595,3.667557051,5.627204071,8.27,16.509,C,C,0.175153819,2055.336287,MBA,Otto Matic,1866-10-01,120.07
2000091,    91 Aegina,2.59087216,0.107377477,2.106548223,10.7008909,72.92833752,2.312670844,2.869073476,4.17039488,8.84,6.025,Ch,CP,0.236338839,1523.23673,MBA,Otto Matic,1866-11-10,109.81
2000092,    92 Undina,3.185620229,0.10387546,9.930885548,101.5915659,240.0543215,2.854712463,3.516527994,5.685899812,6.61,15.941,Xc,X,0.1733457,2076.774906,MBA,Otto Matic,1871-03-09,126.42
2000093,    93 Minerva,2.755095969,0.141384166,8.559448378,4.081179687,274.9526487,2.365569024,3.144622914,4.573127389,7.7,5.982,C,CU,0.215525657,1670.334779,MBA,Otto Matic,1870-02-25,141.55
2000094,    94 Aurora,3.158241629,0.089258816,7.965440029,2.661254309,60.39973457,2.87634072,3.440142537,5.612756904,7.57,7.22,C,CP,0.175604663,2050.059459,MBA,Otto Matic,1872-07-26,204.89
2000095,    95 Arethusa,3.0689571,0.151814,13.0036,243.11424,154.99969,2.6030464,3.5348678,5.376435549,7.84,8.688,Ch,C,0.18332337,1963.743084,MBA,MPCLINUX,1872-??-??,136.04
2000096,    96 Aegle,3.052395852,0.138612081,15.9658321,321.641242,208.6100117,2.629296912,3.475494791,5.33297422,7.67,13.82,T,T,0.184817373,1947.868834,MBA,Otto Matic,1870-08-19,170.02
2000097,    97 Klotho,2.671083442,0.254773668,11.78136998,159.7252534,268.4800176,1.990561715,3.351605169,4.365554205,7.63,35.15,,M,0.225773461,1594.518673,MBA,Otto Matic,1870-07-23,82.83
2000098,    98 Ianthe,2.687683097,0.185766416,15.57728778,354.0170736,158.4324323,2.188401841,3.186964353,4.406312478,8.84,16.479,Ch,CG,0.223685063,1609.405633,MBA,Otto Matic,1870-10-17,104.45
2000099,    99 Dike,2.663661871,0.196578995,13.85311554,41.6267326,195.519952,2.140041898,3.187281845,4.347372395,9.43,18.127,Xk,C,0.226717703,1587.877767,MBA,Otto Matic,1/20/15,69.04
2000100,   100 Hekate,3.0876754,0.1681379,6.43012,127.20831,185.02936,2.5685201,3.6068307,5.425698338,7.67,27.066,S,S,0.18165888,1981.736318,MBA,MPCLINUX,1871-??-??,88.66
2000101,   101 Helena,2.583421928,0.141027547,10.19962027,343.4395828,347.3382313,2.21908827,2.947755586,4.15241943,8.33,23.08,S,S,0.237361928,1516.671197,MBA,Otto Matic,1871-03-22,65.84
2000102,   102 Miriam,2.660623577,0.252949524,5.178483197,210.8733065,147.4298958,1.987620109,3.333627046,4.339936301,9.26,23.613,C,P,0.227106164,1585.161734,MBA,Otto Matic,1870-01-28,83
2000103,   103 Hera,2.701161745,0.081502778,5.419311825,136.1978833,188.9430603,2.481009558,2.921313932,4.439500282,7.66,23.74,S,S,0.222012889,1621.527478,MBA,Otto Matic,1871-04-04,91.2
2000104,   104 Klymene,3.150200193,0.155808906,2.788777425,41.78179745,31.68762881,2.659370947,3.641029439,5.591333963,8.27,8.984,Ch,C,0.176277484,2042.23473,MBA,Otto Matic,1885-09-16,123.68
2000105,   105 Artemis,2.373265068,0.177314434,21.44194829,188.2703643,57.21312787,1.952450917,2.794079219,3.656180033,8.57,37.15506,Ch,C,0.269578159,1335.419757,MBA,Otto Matic,6/20/15,119.08
2000106,   106 Dione,3.175813356,0.167435521,4.597953623,62.17937677,329.7200226,2.644069393,3.707557319,5.659664124,7.41,16.26,Cgh,G,0.174149254,2067.192321,MBA,Otto Matic,1871-03-16,146.59
2000107,   107 Camilla,3.491372758,0.06789728,9.997632129,172.6486197,306.6895802,3.254318043,3.728427473,6.523828425,7.08,4.844,X,C,0.151080963,2382.828332,OMB,Otto Matic,1868-12-05,222.62
2000108,   108 Hecuba,3.236260455,0.05485697,4.221295144,350.0299698,203.8690847,3.058729013,3.413791897,5.822016099,8.09,17.859,Sl,S,0.169292951,2126.49138,OMB,Otto Matic,1880-01-26,64.97
2000109,   109 Felicitas,2.6964246,0.2975114,7.88317,3.19604,56.31186,1.8942075,3.4986417,4.427826636,8.75,13.191,Ch,GC,0.22259821,1617.263679,MBA,MPCLINUX,1869-??-??,89.44
2000110,   110 Lydia,2.735231616,0.078807355,5.970495721,56.96816717,283.7627839,2.519675247,2.950787985,4.523757998,7.8,10.927,X,M,0.217877765,1652.302609,MBA,Otto Matic,1870-06-26,86.09
2000111,   111 Ate,2.592826622,0.103460445,4.931969003,305.7711003,167.0548683,2.324571626,2.861081617,4.175114766,8.02,22.072,Ch,C,0.236071662,1524.960668,MBA,Otto Matic,1870-08-15,134.55
2000112,   112 Iphigenia,2.43309105,0.128991277,2.603934239,323.5487393,16.72592556,2.119243527,2.746938572,3.795296798,9.84,31.466,Ch,DCX,0.25969676,1386.232155,MBA,Otto Matic,1870-09-21,72.18
2000113,   113 Amalthea,2.37710648,0.086430729,5.041110456,123.4944423,78.55287693,2.171651434,2.582561526,3.665060569,8.74,9.935,S,S,0.268924964,1338.663373,MBA,Otto Matic,1871-03-12,46.14
2000114,   114 Kassandra,2.678751645,0.136417506,4.933905198,164.2891993,351.9999822,2.313323027,3.044180263,4.384366779,8.26,10.7431,Xk,T,0.224804706,1601.389966,MBA,Otto Matic,1902-09-03,99.65
2000115,   115 Thyra,2.379519587,0.192253994,11.59977581,308.9241306,96.7314357,1.922047444,2.83699173,3.670642835,7.51,7.241,S,S,0.268515987,1340.702296,MBA,Otto Matic,1872-12-25,79.83
2000116,   116 Sirona,2.767490134,0.141330541,3.563471034,63.75422342,94.90643158,2.376359257,3.15862101,4.6040213,7.82,12.028,Sk,S,0.214079436,1681.61878,MBA,Otto Matic,1872-12-23,71.7
2000117,   117 Lomia,2.990538715,0.028788632,14.90212491,348.8039737,53.73394021,2.904445197,3.076632232,5.171688347,7.95,9.127,X,XC,0.190581144,1888.959169,MBA,Otto Matic,1892-10-10,148.71
2000118,   118 Peitho,2.437034635,0.163468097,7.744092183,47.72132162,33.15506716,2.038657221,2.835412049,3.804527734,9.14,7.78,S,S,0.259066658,1389.603755,MBA,Otto Matic,1872-03-22,41.73
2000119,   119 Althaea,2.581226165,0.081406709,5.783067805,203.6956521,169.9887304,2.371097036,2.791355293,4.147126571,8.42,11.484,Sl,S,0.237664867,1514.73798,MBA,Otto Matic,1872-04-13,57.3
2000120,   120 Lachesis,3.118206417,0.056390732,6.949016558,341.4291698,231.8247293,2.942368473,3.294044361,5.506371309,7.75,46.551,C,C,0.178997425,2011.202121,MBA,Otto Matic,1872-04-25,174.1
2000121,   121 Hermione,3.449966483,0.134558565,7.597531284,73.14872244,298.3716059,2.985743942,3.914189024,6.408118232,7.31,5.55128,Ch,C,0.153809004,2340.565184,OMB,Otto Matic,1872-06-07,209
2000122,   122 Gerda,3.2291041,0.0349162,1.63834,178.23514,320.60496,3.1163561,3.3418521,5.802715543,7.87,10.685,L,ST,0.16985604,2119.441852,OMB,MPCLINUX,1872-??-??,81.69
2000123,   123 Brunhild,2.6962365,0.1184855,6.4188,307.86817,125.42971,2.3767716,3.0157014,4.427363609,8.89,10.04,S,S,0.22262149,1617.094558,MBA,MPCLINUX,1872-??-??,47.97
2000124,   124 Alkeste,2.629854823,0.077237312,2.95339261,188.0711558,61.6720434,2.426731904,2.832977741,4.264870652,8.11,9.921,S,S,0.231103441,1557.744006,MBA,Otto Matic,1872-08-24,76.36
2000125,   125 Liberatrix,2.742779609,0.079964476,4.658118829,169.0566652,108.7413569,2.523454675,2.962104542,4.542496175,9.04,3.968,X,M,0.216979001,1659.146728,MBA,Otto Matic,1872-10-01,43.58
2000126,   126 Velleda,2.438849785,0.104843722,2.923973852,23.40957376,327.7783299,2.183151697,2.694547872,3.808779052,9.27,5.3672,,S,0.25877749,1391.156549,MBA,Otto Matic,1872-11-06,44.82
2000127,   127 Johanna,2.755840495,0.065715318,8.240189709,31.2071809,94.80390034,2.574739562,2.936941429,4.574981251,8.3,12.7988,Ch,CX,0.215438322,1671.011902,MBA,Otto Matic,10/3/17,122
2000128,   128 Nemesis,2.750250645,0.124549298,6.248885211,76.40546764,303.1579901,2.407708858,3.092792432,4.561068714,7.49,39,C,C,0.216095469,1665.930348,MBA,Otto Matic,1872-11-26,188.16
2000129,   129 Antigone,2.875636689,0.2107002,12.23419612,135.779797,110.3101867,2.269739462,3.481533915,4.876511201,7.07,4.9572,X,M,0.202117096,1781.145716,MBA,Otto Matic,11/27/05,113
2000130,   130 Elektra,3.124338688,0.20872304,22.86377274,145.4123964,235.5911565,2.47221722,3.776460156,5.522622554,7.12,5.225,Ch,G,0.178470695,2017.137888,MBA,Otto Matic,1893-12-02,182.25
2000131,   131 Vala,2.431669549,0.067685741,4.960601054,65.69886918,161.1197764,2.267080194,2.596258905,3.791971257,10.03,5.1812,Xc,SU,0.259924513,1385.017502,MBA,Otto Matic,1873-05-30,40.44
2000133,   133 Cyrene,3.059818278,0.138824969,7.227195978,319.1019416,290.3291182,2.6350391,3.484597456,5.352438108,7.98,12.708,S,SR,0.184145293,1954.978019,MBA,Otto Matic,1894-07-27,66.57
